Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T001_001,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T053_001,SE_T053_002,SE_T053_003,SE_T053_004,SE_T053_005,SE_T053_006,SE_T053_007,SE_T053_008,SE_T053_009,SE_T053_010,SE_T053_011,SE_T053_012,SE_T053_013,SE_T053_014,SE_T053_015,SE_T053_016,SE_T053_017,SE_T053_018,SE_T066_001,SE_T066_002,SE_T066_003,SE_T101_001,SE_T101_002,SE_T101_003,SE_T101_004,SE_T101_005,SE_T101_006,SF3_T031_001,SF3_T031_002,SF3_T031_003,SF3_T031_004,SF3_T031_005,SF3_T031_006,SF3_T031_007,SF3_T031_008,SF3_T031_009,SF3_T031_010,SF3_T031_011,SF3_T031_012,SF3_T031_013,SF3_T031_014,SF3_T031_015,SF3_T031_016,SF3_T031_017,SF3_T031_018,SF3_T031_019
29189210100,Census Tract 2101,"Census Tract 2101, St. Louis County, Missouri",0,29,189,210100,6621.966929,6621.966929,422.9978875,421.9978925,516.997418,382.9980872,995.9950258,1252.993742,652.9967388,794.9960297,592.9970385,344.998277,176.999116,64.99967538,6621.966929,6443.967818,129.9993508,10.99994506,22.99988513,13.99993008,2262.988698,13.99993008,53.99973032,115.9994207,88.99955552,147.9992609,99.99950059,218.9989063,223.9988813,308.9984568,154.9992259,164.999176,105.9994706,212.9989362,158.9992059,122.9993857,51.9997403,16.9999151,2272.988648,1520.992404,751.9962444,6613.966969,6502.967523,5106.974495,1395.993028,0,110.9994457,6190.969081,1384.993083,1362.993193,21.99989013,21.99989013,21.99989013,0,0,0,0,4805.975998,4655.976747,149.9992509,27.99986016,27.99986016,0,121.9993907,110.9994457,10.99994506
29189210200,Census Tract 2102,"Census Tract 2102, St. Louis County, Missouri",0,29,189,210200,6946.715093,6946.715093,474.1526905,461.3108237,556.8770455,429.2681641,979.3836067,977.6096179,674.8837159,1073.81189,859.2599078,310.5866609,119.3037655,30.26720438,6946.715093,6885.616549,42.93680955,0.068693484,12.01268519,6.080355551,2165.326361,28.70729346,38.53954446,103.5028717,81.84009651,119.7230682,106.5288017,180.6747814,166.4253778,244.208319,148.1855901,179.9508141,165.6190088,258.8273913,146.5378859,113.8227872,76.23272977,6.000000003,2182.095678,2009.495433,172.600245,6918.979891,6827.233623,5751.052288,1053.181335,23.00000001,91.74626833,6431.727869,1402.636488,1390.634441,12.00204625,0,0,0,12.00204625,12.00204625,0,5029.091382,4843.704127,185.3872541,16.09713323,16.00588296,0.091250271,169.2901209,153.2883304,16.00179047
29189210300,Census Tract 2103,"Census Tract 2103, St. Louis County, Missouri",0,29,189,210300,4105.866287,4105.866287,270.8934581,198.7197981,248.1466747,195.7482242,635.6996318,567.4956187,334.1641574,501.2368446,538.8134112,394.4732885,197.7341886,22.74099049,4105.866287,4017.82422,74.20034989,5.931737772,0.98947141,6.920507018,1659.969076,60.31211535,131.4984104,127.5501795,158.1853497,147.3166118,131.4910377,144.341176,122.5931677,190.8033247,101.8325243,82.05608618,53.38616657,71.18295975,46.46513293,71.17980001,19.77503384,0,1640.195447,1164.603759,475.5916879,4129.586392,4065.324465,3363.36606,701.9584059,0,64.26192611,3849.797872,658.430792,658.4293877,0.001404327,0,0,0,0.001404327,0.001404327,0,3191.36708,3159.71681,31.65027062,7.912787081,0.00403744,7.908749641,23.73748354,23.73625475,0.001228786
29189210400,Census Tract 2104,"Census Tract 2104, St. Louis County, Missouri",0,29,189,210400,4186.633515,4186.633515,211.8124624,175.8289924,184.8033851,143.8428267,382.6609304,545.489879,263.747354,430.5289394,716.2009084,720.169007,347.6168718,60.93591313,4186.633515,3716.973019,455.6720788,0.000858992,9.991113366,3.996445347,1778.242086,25.00570066,91.95432063,128.9356135,140.8648201,131.9050302,173.8101539,152.8301043,104.8985299,166.8030602,139.8515354,134.8357924,91.88903724,110.8743001,37.95592289,108.8614746,25.98118971,10.98550025,1751.269086,1598.088513,153.180573,4171.623223,4059.754536,3126.707383,933.0471526,0,111.868687,3977.798201,471.5118315,471.5049596,0.006871936,0,0,0,0.006871936,0.006871936,0,3506.286369,3395.357953,110.9284166,0.019756815,0.019756815,0,110.9086598,97.91978293,12.98887687
29189210501,Census Tract 2105.01,"Census Tract 2105.01, St. Louis County, Missouri",0,29,189,210501,4750.073646,4750.073646,417.7930586,445.9000032,479.2472257,321.5625023,539.2722261,831.775006,556.4222263,436.3722254,384.4458361,221.0444461,83.84444505,25.24861129,4750.073646,2284.284739,2424.343073,10.95694452,18.10277791,12.3861112,1418.686121,25.72500019,57.16666708,71.45833385,83.84444505,70.02916718,87.65555619,134.3416676,107.6638897,142.9166677,106.7111119,121.9555564,100.0416674,160.5430567,55.26111151,71.93472275,21.43750016,0,1436.31251,1312.451398,123.861112,4786.279201,4736.734757,3435.716692,1284.820843,16.19722234,49.5444448,4372.773643,1271.005565,1264.812509,6.193055601,3.334722246,3.334722246,0,2.858333354,2.858333354,0,3101.768078,3045.0778,56.69027819,7.145833385,7.145833385,0,49.5444448,36.20555582,13.33888899
29189210502,Census Tract 2105.02,"Census Tract 2105.02, St. Louis County, Missouri",0,29,189,210502,5220.926399,5220.926399,459.2069453,490.100001,526.7527788,353.4375007,592.7277789,914.2250018,611.577779,479.6277787,422.5541675,242.955556,92.15555573,27.75138894,5220.926399,2510.715283,2664.65695,12.04305558,19.89722226,13.61388892,1559.313892,28.27500005,62.83333346,78.54166682,92.15555573,76.97083348,96.34444463,147.6583336,118.3361113,157.0833336,117.2888891,134.0444447,109.9583335,176.4569448,60.73888901,79.06527793,23.56250005,0,1578.687503,1442.548614,136.1388892,5260.720844,5206.265288,3776.283341,1412.179169,17.80277781,54.45555566,4806.226398,1396.994447,1390.187503,6.806944458,3.665277785,3.665277785,0,3.141666673,3.141666673,0,3409.231951,3346.922229,62.30972234,7.854166682,7.854166682,0,54.45555566,39.79444452,14.66111114
29189210600,Census Tract 2106,"Census Tract 2106, St. Louis County, Missouri",0,29,189,210600,7512.999996,7512.999996,351.9999998,269.9999998,364.9999998,354.9999998,906.9999995,1006.999999,576.9999997,902.9999995,1376.999999,902.9999995,396.9999998,99.99999994,7512.999996,7300.999996,178.9999999,0.999999999,14.99999999,16.99999999,2721.999998,45.99999997,114.9999999,215.9999999,162.9999999,198.9999999,143.9999999,226.9999999,148.9999999,200.9999999,165.9999999,188.9999999,148.9999999,219.9999999,188.9999999,216.9999999,125.9999999,5.999999997,2710.999998,2520.999999,189.9999999,7461.999996,7287.999996,6037.999997,1240.999999,8.999999995,173.9999999,7121.999996,986.9999994,975.9999994,10.99999999,5.999999997,5.999999997,0,4.999999997,4.999999997,0,6134.999997,5900.999997,233.9999999,23.99999999,17.99999999,5.999999997,209.9999999,178.9999999,30.99999998
29189210702,Census Tract 2107.02,"Census Tract 2107.02, St. Louis County, Missouri",0,29,189,210702,6907.162444,6907.162444,432.7436492,409.7914998,498.2529087,358.6273335,1055.3207,1208.335029,762.680796,760.2899471,679.4792546,471.4754012,231.4341726,38.73175202,6907.162444,6274.065658,555.1551123,7.172546671,47.33880803,23.43031913,2684.923304,44.46978936,140.103745,159.2305361,148.710801,183.139025,173.0974597,243.8665868,155.4051779,239.084889,186.9643832,175.9664783,148.710801,259.1680197,161.621385,144.407273,84.15788094,36.81907291,2674.403569,1473.719256,1200.684313,6907.162444,6755.104455,5161.842754,1563.615174,29.64652624,152.0579894,6474.418795,1280.538666,1254.717498,25.82116802,10.9979049,8.128886227,2.869018668,14.82326312,14.82326312,0,5193.880129,4994.961502,198.9186277,23.9084889,20.08313068,3.825358225,175.0101388,145.3636125,29.64652624
29189210703,Census Tract 2107.03,"Census Tract 2107.03, St. Louis County, Missouri",0,29,189,210703,3532.583774,3532.583774,221.3214479,209.5828518,254.8253577,183.4155646,539.7308681,617.9881756,390.0637674,388.8409969,347.5113564,241.1303289,118.3641777,19.80888098,3532.583774,3208.794164,283.927294,3.668311292,24.21085453,11.98315022,1373.171194,22.74353001,71.65434723,81.43651068,76.05632078,93.66421499,88.52857918,124.7225839,79.48007799,122.2770431,95.62064767,89.99590369,76.05632078,132.5483147,82.65928111,73.85533401,43.04151916,18.83066463,1367.791004,753.7156934,614.0753103,3532.583774,3454.815575,2639.96136,799.6918616,15.16235334,77.76819939,3311.262326,654.9158426,641.709922,13.20592065,5.624743981,4.157419464,1.467324517,7.58117667,7.58117667,0,2656.346483,2554.611984,101.7344998,12.22770431,10.27127162,1.956432689,89.50679552,74.34444218,15.16235334
29189210704,Census Tract 2107.04,"Census Tract 2107.04, St. Louis County, Missouri",0,29,189,210704,4005.253474,4005.253474,250.9348836,237.6256301,288.9217113,207.9570859,611.9483848,700.6767414,442.2554027,440.8690221,394.0093587,273.3942489,134.2016394,22.45936528,4005.253474,3638.139899,321.917569,4.159141718,27.45033534,13.58652961,1556.905383,25.78667865,81.24190156,92.33294614,86.23287162,106.1967519,100.3739535,141.4108184,90.11473722,138.6380573,108.4149608,102.0376101,86.23287162,150.2836541,93.71932671,83.73738659,48.80059616,21.35026082,1550.805309,854.564985,696.2403236,4005.253474,3917.07967,2993.195656,906.6928945,17.1911191,88.17380442,3754.318591,742.5454347,727.5725245,14.97291018,6.377350634,4.713693947,1.663656687,8.59555955,8.59555955,0,3011.773156,2896.426292,115.3468636,13.86380573,11.64559681,2.218208916,101.4830579,84.29193882,17.1911191
