Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017,SE_T133_001,SE_T133_002,SE_T133_003,SE_T133_004,SE_T133_005,ACS12_5yr_B16004001,ACS12_5yr_B16004002,ACS12_5yr_B16004003,ACS12_5yr_B16004004,ACS12_5yr_B16004005,ACS12_5yr_B16004006,ACS12_5yr_B16004007,ACS12_5yr_B16004008,ACS12_5yr_B16004009,ACS12_5yr_B16004010,ACS12_5yr_B16004011,ACS12_5yr_B16004012,ACS12_5yr_B16004013,ACS12_5yr_B16004014,ACS12_5yr_B16004015,ACS12_5yr_B16004016,ACS12_5yr_B16004017,ACS12_5yr_B16004018,ACS12_5yr_B16004019,ACS12_5yr_B16004020,ACS12_5yr_B16004021,ACS12_5yr_B16004022,ACS12_5yr_B16004023,ACS12_5yr_B16004024,ACS12_5yr_B16004025,ACS12_5yr_B16004026,ACS12_5yr_B16004027,ACS12_5yr_B16004028,ACS12_5yr_B16004029,ACS12_5yr_B16004030,ACS12_5yr_B16004031,ACS12_5yr_B16004032,ACS12_5yr_B16004033,ACS12_5yr_B16004034,ACS12_5yr_B16004035,ACS12_5yr_B16004036,ACS12_5yr_B16004037,ACS12_5yr_B16004038,ACS12_5yr_B16004039,ACS12_5yr_B16004040,ACS12_5yr_B16004041,ACS12_5yr_B16004042,ACS12_5yr_B16004043,ACS12_5yr_B16004044,ACS12_5yr_B16004045,ACS12_5yr_B16004046,ACS12_5yr_B16004047,ACS12_5yr_B16004048,ACS12_5yr_B16004049,ACS12_5yr_B16004050,ACS12_5yr_B16004051,ACS12_5yr_B16004052,ACS12_5yr_B16004053,ACS12_5yr_B16004054,ACS12_5yr_B16004055,ACS12_5yr_B16004056,ACS12_5yr_B16004057,ACS12_5yr_B16004058,ACS12_5yr_B16004059,ACS12_5yr_B16004060,ACS12_5yr_B16004061,ACS12_5yr_B16004062,ACS12_5yr_B16004063,ACS12_5yr_B16004064,ACS12_5yr_B16004065,ACS12_5yr_B16004066,ACS12_5yr_B16004067,ACS12_5yr_B16004001s,ACS12_5yr_B16004002s,ACS12_5yr_B16004003s,ACS12_5yr_B16004004s,ACS12_5yr_B16004005s,ACS12_5yr_B16004006s,ACS12_5yr_B16004007s,ACS12_5yr_B16004008s,ACS12_5yr_B16004009s,ACS12_5yr_B16004010s,ACS12_5yr_B16004011s,ACS12_5yr_B16004012s,ACS12_5yr_B16004013s,ACS12_5yr_B16004014s,ACS12_5yr_B16004015s,ACS12_5yr_B16004016s,ACS12_5yr_B16004017s,ACS12_5yr_B16004018s,ACS12_5yr_B16004019s,ACS12_5yr_B16004020s,ACS12_5yr_B16004021s,ACS12_5yr_B16004022s,ACS12_5yr_B16004023s,ACS12_5yr_B16004024s,ACS12_5yr_B16004025s,ACS12_5yr_B16004026s,ACS12_5yr_B16004027s,ACS12_5yr_B16004028s,ACS12_5yr_B16004029s,ACS12_5yr_B16004030s,ACS12_5yr_B16004031s,ACS12_5yr_B16004032s,ACS12_5yr_B16004033s,ACS12_5yr_B16004034s,ACS12_5yr_B16004035s,ACS12_5yr_B16004036s,ACS12_5yr_B16004037s,ACS12_5yr_B16004038s,ACS12_5yr_B16004039s,ACS12_5yr_B16004040s,ACS12_5yr_B16004041s,ACS12_5yr_B16004042s,ACS12_5yr_B16004043s,ACS12_5yr_B16004044s,ACS12_5yr_B16004045s,ACS12_5yr_B16004046s,ACS12_5yr_B16004047s,ACS12_5yr_B16004048s,ACS12_5yr_B16004049s,ACS12_5yr_B16004050s,ACS12_5yr_B16004051s,ACS12_5yr_B16004052s,ACS12_5yr_B16004053s,ACS12_5yr_B16004054s,ACS12_5yr_B16004055s,ACS12_5yr_B16004056s,ACS12_5yr_B16004057s,ACS12_5yr_B16004058s,ACS12_5yr_B16004059s,ACS12_5yr_B16004060s,ACS12_5yr_B16004061s,ACS12_5yr_B16004062s,ACS12_5yr_B16004063s,ACS12_5yr_B16004064s,ACS12_5yr_B16004065s,ACS12_5yr_B16004066s,ACS12_5yr_B16004067s
29189210100,14000US29189210100,"Census Tract 2101, St. Louis County, Missouri","Census Tract 2101, St. Louis County, Missouri",mo,140,0,ACSSF,11214,,,,,29,189,,,,210100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2316,235,142,139,308,93,119,58,138,196,208,217,238,118,28,79,0,6907,6808,99,19,80,6076,1715,1714,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3614,3541,73,7,44,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.9090909,236.969697,236.969697,1.818181818,1.818181818,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,227.8787879,232.7272727,46.06060606,7.272727273,40,21.81818182,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,135.7575758,135.7575758,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697
29189210200,14000US29189210200,"Census Tract 2102, St. Louis County, Missouri","Census Tract 2102, St. Louis County, Missouri",mo,140,0,ACSSF,11215,,,,,29,189,,,,210200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2247,244,171,136,226,227,250,227,59,46,244,185,188,29,7,8,0,6229,6163,66,33,33,5631,1771,1721,38,38,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3375,3264,43,43,0,0,0,50,50,0,0,0,18,0,5,13,0,0,0,0,0,0,485,455,30,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.6666667,280,282.4242424,35.15151515,35.15151515,9.696969697,9.696969697,9.696969697,12.12121212,12.12121212,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,227.2727273,225.4545455,32.12121212,32.12121212,9.696969697,9.696969697,9.696969697,27.87878788,27.87878788,9.696969697,9.696969697,9.696969697,33.33333333,9.696969697,9.696969697,24.24242424,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,46.66666667,46.66666667,22.42424242,11.51515152,9.696969697,20,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697
29189210300,14000US29189210300,"Census Tract 2103, St. Louis County, Missouri","Census Tract 2103, St. Louis County, Missouri",mo,140,0,ACSSF,11216,,,,,29,189,,,,210300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336,160,108,114,16,129,138,57,46,54,127,230,123,20,14,0,0,3501,3411,90,69,21,3083,646,594,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,2131,2062,43,12,10,0,21,0,0,0,0,0,0,0,0,0,0,26,0,17,9,0,306,291,5,5,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,149.6969697,107.2727273,107.2727273,24.84848485,24.84848485,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,14.54545455,6.666666667,14.54545455,6.666666667,6.666666667,141.8181818,140,23.03030303,12.72727273,9.696969697,6.666666667,19.39393939,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,23.63636364,6.666666667,15.75757576,7.878787879,6.666666667,43.63636364,44.24242424,4.848484848,4.848484848,6.666666667,6.666666667,6.666666667,7.272727273,7.272727273,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667
29189210400,14000US29189210400,"Census Tract 2104, St. Louis County, Missouri","Census Tract 2104, St. Louis County, Missouri",mo,140,0,ACSSF,11217,,,,,29,189,,,,210400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2059,117,172,195,108,100,153,104,126,166,268,286,102,75,21,66,0,4713,4693,20,20,0,4544,762,738,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3169,3113,36,11,11,14,0,7,0,0,7,0,13,13,0,0,0,0,0,0,0,0,613,613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.3939394,134.5454545,129.0909091,20.60606061,20.60606061,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,164.2424242,162.4242424,18.78787879,11.51515152,10.3030303,13.33333333,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,10.90909091,10.90909091,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,53.33333333,53.33333333,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667
29189210501,14000US29189210501,"Census Tract 2105.01, St. Louis County, Missouri","Census Tract 2105.01, St. Louis County, Missouri",mo,140,0,ACSSF,11218,,,,,29,189,,,,210501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1194,151,54,49,219,73,64,38,80,126,124,138,78,0,0,0,0,4026,3950,76,22,54,3757,1028,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2228,2127,70,70,0,0,0,0,0,0,0,0,31,0,0,22,9,0,0,0,0,0,501,419,72,72,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,243.6363636,158.1818182,158.1818182,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,148.4848485,149.6969697,39.39393939,39.39393939,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,32.72727273,6.666666667,6.666666667,23.63636364,9.696969697,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,47.87878788,55.15151515,50.90909091,50.90909091,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,9.696969697,6.666666667,6.666666667,9.696969697,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667
29189210502,14000US29189210502,"Census Tract 2105.02, St. Louis County, Missouri","Census Tract 2105.02, St. Louis County, Missouri",mo,140,0,ACSSF,11219,,,,,29,189,,,,210502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1249,151,70,52,31,100,150,66,48,51,199,61,120,57,73,15,5,3335,3328,7,7,0,3064,743,724,19,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1925,1916,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235.7575758,117.5757576,116.969697,15.75757576,3.636363636,6.666666667,15.15151515,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,163.6363636,163.030303,9.090909091,9.090909091,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,38.78787879,38.78787879,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667
29189210600,14000US29189210600,"Census Tract 2106, St. Louis County, Missouri","Census Tract 2106, St. Louis County, Missouri",mo,140,0,ACSSF,11220,,,,,29,189,,,,210600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2538,204,128,55,116,243,257,166,148,210,221,378,269,71,54,18,0,7053,6997,56,20,36,6645,1461,1461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4154,4095,48,0,48,0,0,0,0,0,0,0,3,3,0,0,0,8,8,0,0,0,1030,1003,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,307.8787879,265.4545455,265.4545455,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,203.030303,204.2424242,27.27272727,9.696969697,27.27272727,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,4.242424242,4.242424242,9.696969697,9.696969697,9.696969697,10.3030303,10.3030303,9.696969697,9.696969697,9.696969697,86.66666667,88.48484848,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,26.06060606,26.06060606,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697
29189210702,14000US29189210702,"Census Tract 2107.02, St. Louis County, Missouri","Census Tract 2107.02, St. Louis County, Missouri",mo,140,0,ACSSF,11221,,,,,29,189,,,,210702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2235,288,128,171,82,213,210,159,168,123,75,199,163,103,145,8,0,5982,5898,84,74,10,5657,1529,1512,17,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3329,3107,133,133,0,0,0,25,25,0,0,0,54,24,15,15,0,10,0,10,0,0,799,799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.9090909,205.4545455,204.8484848,15.15151515,13.33333333,9.696969697,7.878787879,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,196.3636364,217.5757576,75.75757576,75.75757576,9.696969697,9.696969697,9.696969697,16.96969697,16.96969697,9.696969697,9.696969697,9.696969697,52.12121212,23.03030303,15.15151515,13.93939394,9.696969697,10.3030303,9.696969697,10.3030303,9.696969697,9.696969697,110.9090909,110.9090909,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697,9.696969697
29189210703,14000US29189210703,"Census Tract 2107.03, St. Louis County, Missouri","Census Tract 2107.03, St. Louis County, Missouri",mo,140,0,ACSSF,11222,,,,,29,189,,,,210703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1758,91,280,118,154,116,138,23,118,95,208,56,138,162,14,37,10,3718,3601,117,46,71,3488,773,719,39,39,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2246,2177,32,0,32,0,0,16,16,0,0,0,21,21,0,0,0,0,0,0,0,0,469,440,0,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,184.8484848,112.1212121,102.4242424,35.75757576,35.75757576,6.666666667,6.666666667,6.666666667,13.93939394,13.93939394,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,137.5757576,136.3636364,30.3030303,6.666666667,30.3030303,6.666666667,6.666666667,14.54545455,14.54545455,6.666666667,6.666666667,6.666666667,16.36363636,16.36363636,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,73.33333333,68.48484848,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,28.48484848,28.48484848,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667
29189210704,14000US29189210704,"Census Tract 2107.04, St. Louis County, Missouri","Census Tract 2107.04, St. Louis County, Missouri",mo,140,0,ACSSF,11223,,,,,29,189,,,,210704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1576,342,231,139,122,146,116,26,20,15,106,141,78,15,66,0,13,4511,4424,87,30,57,4023,1253,1117,125,125,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,2497,2363,26,26,0,0,0,16,16,0,0,0,0,0,0,0,0,92,92,0,0,0,273,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331.5151515,247.8787879,239.3939394,93.93939394,93.93939394,6.666666667,6.666666667,6.666666667,10.3030303,10.3030303,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,220.6060606,221.8181818,29.6969697,29.6969697,6.666666667,6.666666667,6.666666667,15.75757576,15.75757576,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,51.51515152,51.51515152,6.666666667,6.666666667,6.666666667,36.36363636,36.36363636,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667,6.666666667
