Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T001_001,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T006_006,SE_T006_007,SE_T006_008,SE_T006_009,SE_T006_010,SE_T006_011,SE_T006_012,Race-Total,Race-White,Race-Black,SE_T011_004,SE_T064_001,SE_T064_002,SE_T064_003,SE_T064_004,SE_T064_005,SE_T064_006,SE_T064_007,SE_T064_008,SE_T064_009,SE_T064_010,SE_T064_011,SE_T064_012,SE_T064_013,SE_T064_014,SE_T064_015,SE_T064_016,SE_T100_001,SE_T100_002,SE_T100_003,SE_T124_001,SE_T124_002,SE_T124_003,SE_T124_004,SE_T124_005,ORG_PT023_001,ORG_PT023_002,ORG_PT023_003,ORG_PT023_004,ORG_PT023_005,ORG_PT023_006,ORG_PT023_007,ORG_PT023_008,ORG_PT023_009,ORG_PT023_010,ORG_PT023_011,ORG_PT023_012,ORG_PT023_013,ORG_PT023_014,ORG_PT023_015,ORG_PT023_016,ORG_PT023_017,ORG_PT023_018,ORG_PT023_019,ORG_PT023_020,ORG_PT023_021,ORG_PT023_022,ORG_PT023_023,ORG_PT023_024,ORG_PT023_025,ORG_PT023_026,ORG_PT023_027,ORG_PT023_028,ORG_PT023_029
29189210100,Census Tract 2101,"Census Tract 2101, St. Louis County, Missouri",0,29,189,210100,5704.972,5704.972,438.9978,634.9968,834.9958,489.9976,549.9973,533.9973,881.9956,637.9968,373.9981,222.9989,104.9995,5465.973,5398.973,60.99969,5.99997,1304.993483,13.99993008,14.99992509,28.99985517,0,8.999955053,26.99986516,32.99983519,95.99952056,118.9994057,98.99950558,236.9988164,298.9985068,271.9986416,49.99975029,5.999970035,1358.993,1184.994,173.9991,6196.969,6092.97,103.9995,82.99959,20.9999,5737.971,5679.972,4971.975,19.9999,0,318.9984,42.99979,0,0,0,91.99954,6.999965,0,35.99982,190.999,57.99971,0,0,0,22.99989,5.99997,0,0,0,0,14.99992,0,13.99993,0
29189210200,Census Tract 2102,"Census Tract 2102, St. Louis County, Missouri",0,29,189,210200,9414.82,9414.82,758.5303,1004.606,1421.869,722.3226,1026.676,1134.499,1411.39,1224.415,400.6703,200.68,109.1629,9307.721,9290.785,16.83266,0.1026566,2351.101349,21.27426238,20.10444703,37.17365208,39.11841113,34.57031421,37.59977707,66.66719167,87.17188176,217.2478891,231.1138273,413.7915742,501.9771442,585.0623395,53.17160585,5.057031422,2447.303,2090.046,357.2573,9330.59,9256.774,73.81548,51.80984,22.00563,9447.034,9352.435,8320.845,19,6,373.5639,74.24619,6,0.1254691,25,110.4946,29.17263,0,102.2498,285.7371,94.59952,18,0,31,21.21902,8.079844,0,0.0684377,0,16.10266,0.07984399,0,0.00409249,0.04562514
29189210300,Census Tract 2103,"Census Tract 2103, St. Louis County, Missouri",0,29,189,210300,4467.644,4467.644,304.4986,397.4291,507.1609,286.7024,576.3679,474.5413,551.6523,552.6506,488.3897,229.3769,98.87465,4459.729,4378.665,72.16734,8.897344,1216.019409,23.7266,8.898572132,14.83066099,9.888921246,49.42968526,51.41143673,57.3422968,100.8423508,107.7598736,95.89868008,241.2226569,257.0422627,177.9531864,14.82925666,4.942968526,1403.876,1039.052,364.8242,3835.972,3765.778,70.19402,70.19016,0.003861899,4486.425,4435.014,3955.506,0,0,133.4767,20.76503,0,10.87453,0,42.51234,14.82996,0,20.76749,236.2814,51.41126,0,0,0,18.78486,6.920156,0,5.931562,0,8.897344,6.920156,0,0.002808654,3.954375
29189210400,Census Tract 2104,"Census Tract 2104, St. Louis County, Missouri",0,29,189,210400,3886.688,3886.688,130.4898,200.1199,227.3164,176.0934,351.3737,248.9415,314.5612,703.5046,753.9059,483.433,296.9482,3773.829,3761.826,7.201782,4.801188,1243.74826,15.20548059,12.80918146,22.41413482,48.82668282,24.00594096,44.83342359,68.03573055,56.84240702,97.63962178,68.0417435,208.8800331,202.4887568,316.1091464,49.61399598,8.001980321,1457.517,1232.499,225.018,3786.057,3561.982,224.0744,137.6341,86.44029,3888.275,3721.012,2919.021,0,0,336.1639,76.84135,0,13.60337,0,113.6419,0.005153952,0,104.0601,157.6759,167.2629,8.802178,0,0,32.01565,11.20277,0,19.20475,0,64.81604,0,0,31.22147,0
29189210501,Census Tract 2105.01,"Census Tract 2105.01, St. Louis County, Missouri",0,29,189,210501,5538.769,5538.769,463.1951,628.7723,686.2089,324.2338,500.7511,623.3438,825.8996,753.3395,424.9912,192.2681,115.7654,5407.932,5374.521,22.23755,11.17271,1416.927501,9.734660686,8.197608999,10.05831572,23.15477314,17.75246133,35.83746488,44.0261867,70.67689018,72.98732425,125.0122984,229.9540531,353.0510828,369.1145845,37.48240158,9.887394548,1529.429,1383.553,145.8761,5453.728,5350.287,103.4415,82.40763,21.03386,5537.411,5451.291,4783.566,2.858333,3.334722,212.3289,51.09121,0,0.6113484,4.763889,111.8177,59.54861,3.334722,45.64446,172.3914,86.12016,18.97474,0,0,12.8718,5.743741,0,5.15058,0,35.30734,6.669445,0,1.402505,0
29189210502,Census Tract 2105.02,"Census Tract 2105.02, St. Louis County, Missouri",0,29,189,210502,6087.801,6087.801,509.1095,691.0997,754.2297,356.3736,550.3882,685.133,907.7672,828.0145,467.1186,211.3267,127.2407,5943.995,5907.272,24.44185,12.28021,1557.380947,10.69961242,9.01019993,11.05534987,25.44999833,19.51218043,39.38986644,48.39029824,77.68276226,80.22221894,137.4041873,252.748331,388.047398,405.7032,41.19785808,10.86748608,1681.034,1520.698,160.3361,5994.331,5880.636,113.6952,90.57632,23.11885,6086.31,5991.652,5257.739,3.141667,3.665278,233.3761,56.15564,0,0.6719485,5.236111,122.9016,65.45139,3.665278,50.16899,189.4798,94.65685,20.85562,0,0,14.14772,6.313092,0,5.661133,0,38.80719,7.330555,0,1.541529,0
29189210600,Census Tract 2106,"Census Tract 2106, St. Louis County, Missouri",0,29,189,210600,9331.54,9331.54,431.091,670.8145,1027.005,713.1167,991.1102,703.3332,1050.44,1556.344,1245.109,624.4477,318.7286,9209.16,8935.312,168.1093,105.7395,2481.542575,12.34189764,22.97212433,13.45121758,72.518724,64.6977331,69.90243514,92.47691049,103.7513017,164.037448,201.4769104,341.1702781,442.1842158,730.6868192,127.6419817,22.2325777,2736.452,2574.817,161.6354,9472.009,8993.497,478.5122,155.2003,323.3118,9339.786,9200.025,7253.521,22,0,698.7682,196.8327,0,15.09538,36,240.5026,6,6,118.0235,607.2818,139.7609,6.355835,0,0,41.93031,1.725609,0,9.958186,6,27.98388,0,0,45.80705,0
29189210702,Census Tract 2107.02,"Census Tract 2107.02, St. Louis County, Missouri",0,29,189,210702,5020.305,5020.305,431.3091,556.1115,588.627,302.2033,589.1052,537.941,707.6913,623.0552,387.7957,209.4384,87.0269,4944.753,4934.234,6.694377,3.825358,1335.05002,15.3014329,2.39084889,22.47397957,23.9084889,16.73594223,43.99161958,48.29514758,62.64024093,125.7586516,119.5424445,232.8686819,292.6399042,255.3426615,65.98742937,7.172546671,1453.636,1111.745,341.8914,5025.564,4929.452,96.11212,96.11212,0,4999.265,4944.754,4311.179,10.04156,3.825358,272.0786,56.42403,0,3.347188,0,65.98743,0,0,67.42194,154.4488,54.51136,3.347188,3.825358,0,13.38875,12.91058,0,0,0,15.7796,2.390849,0,2.869019,0
29189210703,Census Tract 2107.03,"Census Tract 2107.03, St. Louis County, Missouri",0,29,189,210703,2567.573,2567.573,220.5878,284.4164,301.0461,154.5582,301.2906,275.1234,361.9401,318.654,198.3334,107.1147,44.50884,2528.934,2523.554,3.423757,1.956433,682.7950085,7.825730756,1.222770431,11.49404205,12.22770431,8.559393014,22.49897592,24.6999627,32.03658528,64.31772465,61.13852153,119.0978399,149.6671007,130.591882,33.74846389,3.668311292,743.4444,568.5883,174.8562,2570.263,2521.108,49.15537,49.15537,0,2556.813,2528.934,2204.9,5.135636,1.956433,139.1513,28.85738,0,1.711879,0,33.74846,0,0,34.48212,78.99097,27.87917,1.711879,1.956433,0,6.847515,6.60296,0,0,0,8.070285,1.22277,0,1.467324,0
29189210704,Census Tract 2107.04,"Census Tract 2107.04, St. Louis County, Missouri",0,29,189,210704,2911.122,2911.122,250.1031,322.4721,341.3269,175.2385,341.6042,311.9356,410.3687,361.2908,224.8709,121.4469,50.46425,2867.312,2861.212,3.881866,2.218209,774.1549118,8.872835665,1.386380573,13.03197738,13.86380573,9.704664008,25.50940254,28.00488757,36.323171,72.92361812,69.31902863,135.0334678,169.6929821,148.0654452,38.2641038,4.159141718,842.9194,644.667,198.2524,2914.172,2858.439,55.7325,55.7325,0,2898.922,2867.312,2499.921,5.822798,2.218209,157.7701,32.71858,0,1.940933,0,38.2641,0,0,39.09593,89.56019,31.60948,1.940933,2.218209,0,7.763731,7.486455,0,0,0,9.150112,1.386381,0,1.663657,0
29189210803,Census Tract 2108.03,"Census Tract 2108.03, St. Louis County, Missouri",0,29,189,210803,2474.267,2474.267,202.8044,283.7636,350.643,164.6262,180.0599,317.0679,412.6487,298.9266,161.6478,75.00241,27.07668,2413.074,2388.434,21.93211,2.707668,630.6159261,3.790735494,4.061502315,2.70766821,4.603035957,7.581470987,8.664538271,14.07987469,16.51677608,24.36901389,20.57827839,72.2947412,95.5806878,286.2005298,68.23323889,1.353834105,678.2709,552.9058,125.365,2535.731,2484.286,51.4457,46.03036,5.415337,2465.332,2426.071,2161.261,10.01837,1.895368,84.47925,7.852238,2.166135,3.790735,0,25.18131,5.95687,0,29.24282,94.22685,39.26119,12.18451,5.415337,0,3.790735,1.895368,0,0,0,0,4.061502,0,8.393771,3.519969
29189210804,Census Tract 2108.04,"Census Tract 2108.04, St. Louis County, Missouri",0,29,189,210804,6663.732,6663.732,546.1956,764.2363,944.3569,443.3737,484.94,853.932,1111.351,805.0734,435.3522,201.9976,72.92332,6498.926,6432.565,59.06789,7.292331,1698.383996,10.20926404,10.93849718,7.292331455,12.39696347,20.41852808,23.33546066,37.92012357,44.48322188,65.6309831,55.42171906,194.7052499,257.4193004,770.7994348,183.7667527,3.646165728,1826.729,1489.094,337.6349,6829.268,6690.714,138.5543,123.9696,14.58466,6639.667,6533.929,5820.739,26.98163,5.104632,227.5207,21.14776,5.833865,10.20926,0,67.81868,16.04313,0,78.75718,253.7731,105.7388,32.81549,14.58466,0,10.20926,5.104632,0,0,0,0,10.9385,0,22.60623,9.480031
