Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T001_001,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T007_012,SE_T007_013,Race-Total,Race-White,Race-Black,SE_T012_004,SE_T012_005,SE_T012_006,SE_T012_007,SE_T012_008,SE_T090_001,SE_T090_002,SE_T090_003,SE_T090_004,SE_T090_005,SE_T090_006,SE_T090_007,SE_T090_008,SE_T090_009,SE_T090_010,SE_T090_011,SE_T090_012,SE_T090_013,SE_T090_014,SE_T090_015,SE_T090_016,SE_T090_017,SE_T156_001,SE_T156_002,SE_T156_003,SE_T204_001,SE_T204_002,SE_T204_003,SE_T204_004,SE_T204_005,RC2000SF3_RC2000SF3_002_P019001,RC2000SF3_RC2000SF3_002_P019002,RC2000SF3_RC2000SF3_002_P019003,RC2000SF3_RC2000SF3_002_P019004,RC2000SF3_RC2000SF3_002_P019005,RC2000SF3_RC2000SF3_002_P019006,RC2000SF3_RC2000SF3_002_P019007,RC2000SF3_RC2000SF3_002_P019008,RC2000SF3_RC2000SF3_002_P019009,RC2000SF3_RC2000SF3_002_P019010,RC2000SF3_RC2000SF3_002_P019011,RC2000SF3_RC2000SF3_002_P019012,RC2000SF3_RC2000SF3_002_P019013,RC2000SF3_RC2000SF3_002_P019014,RC2000SF3_RC2000SF3_002_P019015,RC2000SF3_RC2000SF3_002_P019016,RC2000SF3_RC2000SF3_002_P019017,RC2000SF3_RC2000SF3_002_P019018,RC2000SF3_RC2000SF3_002_P019019,RC2000SF3_RC2000SF3_002_P019020,RC2000SF3_RC2000SF3_002_P019021,RC2000SF3_RC2000SF3_002_P019022,RC2000SF3_RC2000SF3_002_P019023,RC2000SF3_RC2000SF3_002_P019024,RC2000SF3_RC2000SF3_002_P019025,RC2000SF3_RC2000SF3_002_P019026,RC2000SF3_RC2000SF3_002_P019027,RC2000SF3_RC2000SF3_002_P019028,RC2000SF3_RC2000SF3_002_P019029,RC2000SF3_RC2000SF3_002_P019030,RC2000SF3_RC2000SF3_002_P019031,RC2000SF3_RC2000SF3_002_P019032,RC2000SF3_RC2000SF3_002_P019033,RC2000SF3_RC2000SF3_002_P019034,RC2000SF3_RC2000SF3_002_P019035,RC2000SF3_RC2000SF3_002_P019036,RC2000SF3_RC2000SF3_002_P019037,RC2000SF3_RC2000SF3_002_P019038,RC2000SF3_RC2000SF3_002_P019039,RC2000SF3_RC2000SF3_002_P019040,RC2000SF3_RC2000SF3_002_P019041,RC2000SF3_RC2000SF3_002_P019042,RC2000SF3_RC2000SF3_002_P019043,RC2000SF3_RC2000SF3_002_P019044,RC2000SF3_RC2000SF3_002_P019045,RC2000SF3_RC2000SF3_002_P019046,RC2000SF3_RC2000SF3_002_P019047,RC2000SF3_RC2000SF3_002_P019048,RC2000SF3_RC2000SF3_002_P019049,RC2000SF3_RC2000SF3_002_P019050,RC2000SF3_RC2000SF3_002_P019051,RC2000SF3_RC2000SF3_002_P019052,RC2000SF3_RC2000SF3_002_P019053,RC2000SF3_RC2000SF3_002_P019054,RC2000SF3_RC2000SF3_002_P019055,RC2000SF3_RC2000SF3_002_P019056,RC2000SF3_RC2000SF3_002_P019057,RC2000SF3_RC2000SF3_002_P019058,RC2000SF3_RC2000SF3_002_P019059,RC2000SF3_RC2000SF3_002_P019060,RC2000SF3_RC2000SF3_002_P019061,RC2000SF3_RC2000SF3_002_P019062,RC2000SF3_RC2000SF3_002_P019063,RC2000SF3_RC2000SF3_002_P019064,RC2000SF3_RC2000SF3_002_P019065,RC2000SF3_RC2000SF3_002_P019066,RC2000SF3_RC2000SF3_002_P019067
29189210100,Census Tract 2101,"Census Tract 2101, St. Louis County, Missouri",0,29,189,210100,6297.969,6297.969,483.9976,495.9975,488.9976,354.9983,571.99715,930.9954,1050.9948,777.9961,438.99786,411.99799,242.9988,47.99977,6297.969,4013.98,2074.99,8.999955,51.99974,0,27.99986,119.9994,2435.987821,137.99931,117.99941,153.99923,173.9991301,306.9984651,205.9989701,181.9990901,161.99919,184.9990751,261.9986901,190.9990451,192.9990351,97.99951003,23.99988001,18.99990501,22.99988501,2422.987886,1623.99188,798.9960052,6297.968512,6210.968947,86.99956503,41.99979001,44.99977501,5801.970992,1325.99337,1289.99355,18.99990501,13.99993,0,4.999975001,0,16.999915,6.999965002,9.999950003,0,0,0,0,0,0,0,0,0,0,0,0,3774.981126,3664.981676,64.99967502,48.99975501,5.999970002,9.999950003,0,32.99983501,13.99993,18.99990501,0,0,11.99994,11.99994,0,0,0,0,0,0,0,0,700.9964952,668.9966552,0,0,0,0,0,31.99984001,17.99991001,13.99993,0,0,0,0,0,0,0,0,0,0,0,0
29189210200,Census Tract 2102,"Census Tract 2102, St. Louis County, Missouri",0,29,189,210200,6248.269,6248.269,479.023,621.0205,606.0215,303.012,526.02531,870.0441,931.0389,595.033,383.02127,537.01383,339.0123,58.00383,6248.269,3538.074,2588.187,5.000256,23.00333,1.000767,16.00102,77.00281,2315.129681,178.0332515,90.02071823,237.0074176,111.0076734,224.0140679,222.0020462,203.0066503,130.008185,90.0012789,217.0173931,233.0030694,271.0035809,48.00281359,9.001534684,22,30,2320.12124,1837.047575,483.0736648,6248.271383,6190.271383,58,29,29,5763.249898,1528.071363,1516.063434,12.0079292,7.0079292,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3268.150911,3173.147585,40.00204625,15.00204625,8,17,0,44.0012789,34.0012789,10,0,0,11,0,11,0,0,0,0,0,0,0,967.0276243,931.0276243,0,0,0,0,0,36,30,0,6,0,0,0,0,0,0,0,0,0,0,0
29189210300,Census Tract 2103,"Census Tract 2103, St. Louis County, Missouri",0,29,189,210300,3627.185,3627.185,263.0158,322.014,275.0147,137.00825,330.01738,546.0302,604.0266,395.02261,242.01458,255.00948,216.00844,42.00263,3627.185,2193.051,1337.128,12.00018,7.002282,0.000526623,15.0007,63.00193,1505.088999,152.0228203,113.0142188,188.0050907,134.0052662,143.0096547,103.0014043,103.0045641,94.00561731,85.0008777,134.0119368,120.0021065,106.0024576,14.00193095,16.00105325,0,0,1500.083206,1034.032651,466.0505558,3627.186249,3585.186249,42,36,6,3372.171503,744.0489759,702.0435341,34.00544177,18.00544177,8,8,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2132.103569,2078.101287,21.00140433,14.00140433,7,0,0,33.0008777,12.0008777,21,0,0,0,0,0,0,0,0,0,0,0,0,496.0189584,472.0189584,0,0,0,0,0,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0
29189210400,Census Tract 2104,"Census Tract 2104, St. Louis County, Missouri",0,29,189,210400,4291.242,4291.242,226.7781,341.6179,296.6807,208.76492,305.68169,568.3977,722.1775,634.2738,304.66926,292.66014,272.68139,116.85866,4291.242,1070.835,3163.454,5.99295,4.005894,0.002576976,6.994209,39.95672,1848.995587,216.8256274,149.8718538,146.8311407,149.8280452,154.8429291,117.8513286,61.94060762,152.8258087,153.8012977,182.8171874,216.7242663,65.92502707,45.94881337,18.98010884,6.990772852,6.990772852,1841.976468,1484.200981,357.775487,4263.285467,4210.355329,52.93013731,39.94727344,12.98286387,4056.486171,854.1126286,801.1558625,27.98972016,20.99894731,6.990772852,0,0,24.9670459,9.98681836,14.98022754,0,0,0,0,0,0,0,0,0,0,0,0,2533.163941,2423.297773,67.91723679,41.95150905,8.988136524,6.990772852,9.98681836,34.95815922,22.97397719,11.98418203,0,0,6.990772852,0,0,6.990772852,0,0,0,0,0,0,669.2096013,648.2372827,0,0,0,0,0,20.97231856,15.97890938,0,4.99340918,0,0,0,0,0,0,0,0,0,0,0
29189210501,Census Tract 2105.01,"Census Tract 2105.01, St. Louis County, Missouri",0,29,189,210501,4116,4116,276.3055,439.2305,431.1319,256.2972,380.63471,485.44028,549.2765,591.6751,387.78047,190.55556,103.37639,24.295838,4116,364.9139,3681.057,7.145833,10.00417,0.4763889,3.811111,48.59167,1333.888889,146.7277778,94.325,90.99027778,109.0930556,87.65555556,98.6125,127.6722222,84.32083333,72.8875,105.2819444,151.4916667,108.6166667,40.49305556,7.145833333,3.334722222,5.240277778,1334.841667,1057.106944,277.7347222,4116,4103.613889,12.38611111,12.38611111,0,3828.7375,1092.836111,1041.8625,30.0125,12.38611111,6.193055556,11.43333333,0,16.67361111,16.67361111,0,0,0,4.2875,0,4.2875,0,0,0,0,0,0,0,2397.665278,2338.593056,40.01666667,23.81944444,5.716666667,10.48055556,0,19.05555556,11.90972222,0,7.145833333,0,0,0,0,0,0,0,0,0,0,0,338.2361111,325.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.38611111,12.38611111,0,0,0
29189210502,Census Tract 2105.02,"Census Tract 2105.02, St. Louis County, Missouri",0,29,189,210502,4524,4524,303.6945,482.7695,473.8681,281.7028,418.36529,533.5597,603.7235,650.3249,426.21953,209.44444,113.62361,26.70416,4524,401.0861,4045.943,7.854167,10.99583,0.5236111,4.188889,53.40833,1466.111111,161.2722222,103.675,100.0097222,119.9069444,96.34444444,108.3875,140.3277778,92.67916667,80.1125,115.7180556,166.5083333,119.3833333,44.50694444,7.854166667,3.665277778,5.759722222,1467.158333,1161.893056,305.2652778,4524,4510.386111,13.61388889,13.61388889,0,4208.2625,1201.163889,1145.1375,32.9875,13.61388889,6.806944444,12.56666667,0,18.32638889,18.32638889,0,0,0,4.7125,0,4.7125,0,0,0,0,0,0,0,2635.334722,2570.406944,43.98333333,26.18055556,6.283333333,11.51944444,0,20.94444444,13.09027778,0,7.854166667,0,0,0,0,0,0,0,0,0,0,0,371.7638889,358.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61388889,13.61388889,0,0,0
29189210600,Census Tract 2106,"Census Tract 2106, St. Louis County, Missouri",0,29,189,210600,7119,7119,426,504,492,260,623,884,1206,916,495,559,588,166,7119,4267,2707,15,20,2,27,81,2683,167,115,183,180,313,236,193,227,120,274,250,276,67,32,43,7,2667,2400,267,7119,7066,53,23,30,6702,1266,1233,16,16,0,0,0,9,9,0,0,0,8,8,0,0,0,0,0,0,0,0,4131,4065,19,19,0,0,0,29,29,0,0,0,13,0,13,0,0,5,5,0,0,0,1305,1265,13,13,0,0,0,15,15,0,0,0,12,12,0,0,0,0,0,0,0,0
29189210702,Census Tract 2107.02,"Census Tract 2107.02, St. Louis County, Missouri",0,29,189,210702,6787,6787,519,566,536,303,626,1065,1009,750,465,401,354,193,6787,2805,3791,19,43,0,26,103,2667,108,52,220,185,318,195,287,181,135,247,301,268,64,33,9,64,2687,1587,1100,6787,6685,102,55,47,6270,1404,1313,50,39,11,0,0,19,12,3,4,0,22,22,0,0,0,0,0,0,0,0,3952,3729,83,54,0,29,0,110,73,26,11,0,0,0,0,0,0,30,30,0,0,0,914,890,0,0,0,0,0,24,7,9,8,0,0,0,0,0,0,0,0,0,0,0
29189210703,Census Tract 2107.03,"Census Tract 2107.03, St. Louis County, Missouri",0,29,189,210703,4118,4118,429.7492,456.462,329.9274,153.71617,440.05944,665.4787,618.6138,418.50161,241.82178,188.8647,135.90759,38.89769,4118,1232.073,2769.703,7.966997,24.83828,2.811881,20.62046,59.9868,1616.831683,233.3861386,116.6930693,88.10561056,181.3663366,113.4125413,97.47854785,93.72937294,75.45214521,82.48184818,150.4356436,160.2772277,129.8151815,58.58085809,7.02970297,7.02970297,21.55775578,1616.363036,733.9009901,882.4620462,4118,4054.732673,63.26732673,53.89438944,9.372937294,3676.534653,937.7623762,889.0231023,36.08580858,14.05940594,14.52805281,4.217821782,3.280528053,0,0,0,0,0,12.65346535,12.65346535,0,0,0,0,0,0,0,0,2370.415842,2303.867987,36.08580858,10.31023102,8.435643564,17.33993399,0,13.12211221,7.02970297,2.811881188,0,3.280528053,6.561056106,0,0,6.561056106,0,10.77887789,1.874587459,8.904290429,0,0,368.3564356,344.9240924,0,0,0,0,0,23.43234323,18.74587459,4.686468647,0,0,0,0,0,0,0,0,0,0,0,0
29189210704,Census Tract 2107.04,"Census Tract 2107.04, St. Louis County, Missouri",0,29,189,210704,4669,4669,487.2508,517.538,374.0726,174.28383,498.94056,754.5213,701.3862,474.4984,274.17822,214.1353,154.09241,44.10231,4669,1396.927,3140.297,9.033003,28.16172,3.188119,23.37954,68.0132,1833.168317,264.6138614,132.3069307,99.89438944,205.6336634,128.5874587,110.5214521,106.2706271,85.54785479,93.51815182,170.5643564,181.7227723,147.1848185,66.41914191,7.97029703,7.97029703,24.44224422,1832.636964,832.0990099,1000.537954,4669,4597.267327,71.73267327,61.10561056,10.62706271,4168.465347,1063.237624,1007.976898,40.91419142,15.94059406,16.47194719,4.782178218,3.719471947,0,0,0,0,0,14.34653465,14.34653465,0,0,0,0,0,0,0,0,2687.584158,2612.132013,40.91419142,11.68976898,9.564356436,19.66006601,0,14.87788779,7.97029703,3.188118812,0,3.719471947,7.438943894,0,0,7.438943894,0,12.22112211,2.125412541,10.09570957,0,0,417.6435644,391.0759076,0,0,0,0,0,26.56765677,21.25412541,5.313531353,0,0,0,0,0,0,0,0,0,0,0,0
