Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_CT,SE_T001_001,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,Race-Total,Race-White,Race-Black,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T069_001,SE_T069_002,SE_T069_003
Census Tract 2101,"Census Tract 2101, St. Louis County, Missouri",29189210100,140,0,29,189,20,,210100,6017,6017,416,459,530,456,602,692,734,823,679,328,214,84,6017,1924,3883,12,19,3,34,142,2204,1344,860
Census Tract 2102,"Census Tract 2102, St. Louis County, Missouri",29189210200,140,0,29,189,20,,210200,6441,6441,582,767,728,386,638,846,835,655,490,246,203,65,6441,1086,5184,5,11,0,15,140,2156,1273,883
Census Tract 2103,"Census Tract 2103, St. Louis County, Missouri",29189210300,140,0,29,189,20,,210300,3466,3466,301,258,274,182,371,482,439,526,314,150,120,49,3466,946,2426,6,12,0,10,66,1365,781,584
Census Tract 2104,"Census Tract 2104, St. Louis County, Missouri",29189210400,140,0,29,189,20,,210400,4363,4363,216,228,269,219,334,477,598,746,670,309,206,91,4363,372,3946,3,6,1,5,30,1928,1470,458
Census Tract 2105.01,"Census Tract 2105.01, St. Louis County, Missouri",29189210501,140,0,29,189,20,,210501,3667,3667,257,282,306,249,364,387,425,479,457,314,104,43,3667,151,3456,2,9,0,1,48,1194,894,300
Census Tract 2105.02,"Census Tract 2105.02, St. Louis County, Missouri",29189210502,140,0,29,189,20,,210502,4049,4049,298,321,318,264,419,459,474,570,496,290,108,32,4049,212,3748,5,8,0,8,68,1397,949,448
Census Tract 2106,"Census Tract 2106, St. Louis County, Missouri",29189210600,140,0,29,189,20,,210600,6740,6740,384,418,427,297,502,765,916,1092,894,411,385,249,6740,2086,4532,11,9,0,20,82,2588,2097,491
Census Tract 2107.02,"Census Tract 2107.02, St. Louis County, Missouri",29189210702,140,0,29,189,20,,210702,6111,6111,512,401,479,326,683,748,826,818,582,324,245,167,6111,1154,4759,18,19,1,24,136,2447,1406,1041
Census Tract 2107.03,"Census Tract 2107.03, St. Louis County, Missouri",29189210703,140,0,29,189,20,,210703,3914,3914,228,264,348,201,344,415,522,591,508,279,153,61,3914,843,2948,10,16,2,6,89,1641,935,706
Census Tract 2107.04,"Census Tract 2107.04, St. Louis County, Missouri",29189210704,140,0,29,189,20,,210704,4133,4133,452,424,352,226,466,699,499,471,298,166,68,12,4133,301,3695,6,22,0,9,100,1607,451,1156
Census Tract 2108.03,"Census Tract 2108.03, St. Louis County, Missouri",29189210803,140,0,29,189,20,,210803,4881,4881,178,244,315,254,358,398,563,768,672,428,406,297,4881,1986,2739,8,44,0,14,90,2057,1588,469
Census Tract 2108.04,"Census Tract 2108.04, St. Louis County, Missouri",29189210804,140,0,29,189,20,,210804,9297,9297,488,555,693,468,772,904,1271,1367,1343,820,422,194,9297,1355,7691,12,77,1,28,133,3496,2940,556
Census Tract 2108.05,"Census Tract 2108.05, St. Louis County, Missouri",29189210805,140,0,29,189,20,,210805,6364,6364,380,352,382,278,583,720,728,974,896,563,340,168,6364,961,5225,12,11,1,15,139,2499,1827,672
Census Tract 2108.06,"Census Tract 2108.06, St. Louis County, Missouri",29189210806,140,0,29,189,20,,210806,6004,6004,314,386,449,317,570,622,750,885,910,524,225,52,6004,587,5293,7,12,3,13,89,2231,1832,399
Census Tract 2109.12,"Census Tract 2109.12, St. Louis County, Missouri",29189210912,140,0,29,189,20,,210912,7022,7022,298,395,530,335,549,594,864,1297,1074,593,373,120,7022,3341,3361,12,121,4,56,127,2681,2485,196
Census Tract 2109.21,"Census Tract 2109.21, St. Louis County, Missouri",29189210921,140,0,29,189,20,,210921,4141,4141,246,319,347,236,361,521,592,721,508,172,87,31,4141,2082,1805,1,78,0,39,136,1497,1286,211
Census Tract 2109.23,"Census Tract 2109.23, St. Louis County, Missouri",29189210923,140,0,29,189,20,,210923,5300,5300,398,369,383,255,405,729,787,757,549,384,222,62,5300,3495,1618,7,39,2,39,100,1934,1718,216
Census Tract 2109.24,"Census Tract 2109.24, St. Louis County, Missouri",29189210924,140,0,29,189,20,,210924,4576,4576,302,341,404,227,386,606,683,641,544,274,126,42,4576,1999,2287,14,69,4,55,148,1722,1266,456
Census Tract 2109.25,"Census Tract 2109.25, St. Louis County, Missouri",29189210925,140,0,29,189,20,,210925,5333,5333,308,386,423,254,526,755,690,815,525,372,223,56,5333,2901,2164,8,49,2,38,171,2104,1484,620
Census Tract 2109.26,"Census Tract 2109.26, St. Louis County, Missouri",29189210926,140,0,29,189,20,,210926,2688,2688,178,192,217,133,227,354,329,407,278,211,137,25,2688,2019,547,10,22,1,20,69,963,889,74
Census Tract 2109.27,"Census Tract 2109.27, St. Louis County, Missouri",29189210927,140,0,29,189,20,,210927,4665,4665,161,230,353,220,373,295,494,955,912,424,192,56,4665,2196,2292,9,65,7,16,80,1695,1656,39
Census Tract 2109.28,"Census Tract 2109.28, St. Louis County, Missouri",29189210928,140,0,29,189,20,,210928,4333,4333,212,271,351,260,397,380,617,840,655,220,100,30,4333,1688,2411,1,102,0,30,101,1485,1419,66
Census Tract 2110,"Census Tract 2110, St. Louis County, Missouri",29189211000,140,0,29,189,20,,211000,7414,7414,405,470,527,375,631,820,937,1111,886,499,546,207,7414,4199,2964,10,67,1,45,128,3001,2237,764
Census Tract 2111.01,"Census Tract 2111.01, St. Louis County, Missouri",29189211101,140,0,29,189,20,,211101,6959,6959,524,465,488,282,600,1095,827,933,747,399,377,222,6959,4579,2092,15,30,2,42,199,2877,2059,818
Census Tract 2111.02,"Census Tract 2111.02, St. Louis County, Missouri",29189211102,140,0,29,189,20,,211102,5006,5006,238,238,295,275,523,569,522,682,673,430,401,160,5006,2128,2743,9,31,0,19,76,2217,1279,938
Census Tract 2112.01,"Census Tract 2112.01, St. Louis County, Missouri",29189211201,140,0,29,189,20,,211201,5109,5109,311,307,311,200,485,795,620,828,585,296,273,98,5109,2926,1955,19,21,5,68,115,2438,1280,1158
Census Tract 2112.02,"Census Tract 2112.02, St. Louis County, Missouri",29189211202,140,0,29,189,20,,211202,3421,3421,219,189,186,117,236,537,334,544,383,217,277,182,3421,3072,261,6,6,1,12,63,1459,1235,224
Census Tract 2113.01,"Census Tract 2113.01, St. Louis County, Missouri",29189211301,140,0,29,189,20,,211301,6114,6114,430,427,359,220,469,993,741,915,629,401,398,132,6114,5295,577,14,44,0,40,144,2427,2166,261
Census Tract 2113.31,"Census Tract 2113.31, St. Louis County, Missouri",29189211331,140,0,29,189,20,,211331,6352,6352,372,413,387,261,624,834,832,956,739,442,353,139,6352,5059,997,21,86,4,25,160,2434,1930,504
Census Tract 2113.32,"Census Tract 2113.32, St. Louis County, Missouri",29189211332,140,0,29,189,20,,211332,6483,6483,439,390,455,312,555,894,822,997,666,514,362,77,6483,5122,950,13,94,4,102,198,2515,1983,532
Census Tract 2113.33,"Census Tract 2113.33, St. Louis County, Missouri",29189211333,140,0,29,189,20,,211333,5148,5148,264,289,348,266,536,599,532,968,703,310,234,99,5148,3467,1407,13,120,0,25,116,2216,1224,992
Census Tract 2113.34,"Census Tract 2113.34, St. Louis County, Missouri",29189211334,140,0,29,189,20,,211334,4111,4111,260,258,311,211,328,534,499,583,482,290,258,97,4111,3340,630,8,30,2,14,87,1622,1288,334
Census Tract 2114.01,"Census Tract 2114.01, St. Louis County, Missouri",29189211401,140,0,29,189,20,,211401,5329,5329,359,267,260,192,574,931,673,784,560,363,282,84,5329,3855,1146,13,95,0,94,126,2528,1366,1162
Census Tract 2114.02,"Census Tract 2114.02, St. Louis County, Missouri",29189211402,140,0,29,189,20,,211402,2211,2211,129,87,78,70,250,520,289,357,245,120,54,12,2211,1089,1041,4,27,0,14,36,1209,368,841
Census Tract 2115,"Census Tract 2115, St. Louis County, Missouri",29189211500,140,0,29,189,20,,211500,3494,3494,245,322,308,256,342,407,458,392,352,257,114,41,3494,208,3190,14,10,1,17,54,1195,700,495
Census Tract 2116,"Census Tract 2116, St. Louis County, Missouri",29189211600,140,0,29,189,20,,211600,6200,6200,448,468,512,358,587,854,829,878,633,322,231,80,6200,2564,3303,27,31,8,75,192,2302,1622,680
Census Tract 2117,"Census Tract 2117, St. Louis County, Missouri",29189211700,140,0,29,189,20,,211700,3985,3985,245,268,278,188,353,474,471,657,508,253,198,92,3985,1668,2118,33,27,1,20,118,1555,1235,320
Census Tract 2118.01,"Census Tract 2118.01, St. Louis County, Missouri",29189211801,140,0,29,189,20,,211801,3965,3965,335,319,310,222,454,458,526,586,414,181,128,32,3965,516,3310,12,17,0,22,88,1475,942,533
Census Tract 2118.02,"Census Tract 2118.02, St. Louis County, Missouri",29189211802,140,0,29,189,20,,211802,3843,3843,304,245,315,237,446,485,563,588,320,166,138,36,3843,601,3148,6,17,0,5,66,1473,981,492
Census Tract 2119,"Census Tract 2119, St. Louis County, Missouri",29189211900,140,0,29,189,20,,211900,5454,5454,633,546,433,310,638,862,542,670,427,219,123,51,5454,380,4982,9,6,0,8,69,2093,553,1540
Census Tract 2120.01,"Census Tract 2120.01, St. Louis County, Missouri",29189212001,140,0,29,189,20,,212001,7506,7506,451,520,516,410,766,877,896,1183,1002,486,274,125,7506,737,6635,10,18,0,17,89,3056,1900,1156
